10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/ 36A,511,x,,,,
26,Gipps Aero Ga8 Airvan,20767,GA8,,,,
30,Cessna 180,25,x,,,,
33,Cessna 185A/B/C Skywagon,579,x,,,,
34,Helio H-250/295/395,38,x,,,,
35,Cessna C206/207/209/210 Stationair,138307,C206,,,,
36,Cessna 172 Skyhawk,1815,C172,,,,
40,De Havilland DHC2 Beaver,33722,DHC2,,,,
42,De Havilland DHC3 Otter,56218,DHC3,,,,
79,Piper PA-32 (Cherokee 6),99176,x,,,,
91,Float/Amphib Turbine,467,x,,,,
110,"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",0,x,,,,
117,Beech Baron (55 Series),63,BE55,,,,
125,Cessna C-402/402A/402B,462688,x,,,,
131,Pilatus Britten-Norman BN2/A Islander,129337,BN2P,,,,
133,Beech 65/65A-80/65B-80 (Queen Air),0,x,,,,
143,Convair CV-340/440,0,x,,,,
150,Curtiss C46/20t/A/D/F/R Commando,0,x,,,,
194,Piper PA-31 (Navajo)/T-1020,102549,PA31,,,,
195,Piper PA-34/39 (Twin Commanche),25,x,,,,
218,McDonnell Douglas DC-6A,0,x,,,,
317,Hu-1h 204B,2,x,,,,
325,Agusta A-119 Koala,95,x,,,,
339,Airbus Industrie A330-900,3653,A339,,,,
340,Eurocompter AS350 B2 AStar,78,x,,,,
355,Hughes-500/530,67,x,,,,
359,Airbus Industrie A350-900,7897,A359,,,,
360,Robinson R44,285,x,,,,
362,Bht 206 Lt Long Ranger,141,x,,,,
364,Bht 206 L4 Long Ranger,3289,x,,,,
366,Bell Bht 407,497,x,,,,
368,Bell Bht 412,112,x,,,,
370,Air Bus Euro Bo-105,54,x,,,,
393,Agustawestland AW139,337,x,,,,
403,Beech 99 Airliner,0,x,,,,
404,Beech C99,0,x,,,,
405,Beech 1900 A/B/C/D,49556,B190,,,,
406,Beech 200 Super Kingair,17617,x,,,,
412,Casa/Nurtanio C212 Aviocar,1,x,,,,
413,Casa 235,0,x,,,,
415,Cessna C208B/Grand Caravan,248120,C208,,,,
416,Cessna 208 Caravan,637980,C208,,,,
432,Saab 2000,156271,SB20,,,,
441,Aerospatiale/Aeritalia ATR-42,262604,AT43,,,,
442,Aerospatiale/Aeritalia ATR-72,3613,AT72,,,,
449,Dornier 328,624,D328,,,,
455,Fairchild Metro 23,3213,x,,,,
456,Saab-Fairchild 340/B,399500,SF34,,,,
458,Beechcraft Super King Air,46478,x,,,,
459,Saab-Fairchild 340/A,0,x,,,,
461,Embraer EMB-120 Brasilia,21,x,,,,
469,British Aerospace Jetstream 31,6623,JS31,,,,
479,Pilatus PC-12,241951,PC12,,,,
482,De Havilland DHC8-400 Dash-8,4304222,DH8D,,,,
483,De Havilland DHC8-100 Dash-8,400463,DH8A,,,,
485,De Havilland Twin Otter DHC-6,151089,DHC6,,,,
489,Shorts 360,0,x,,,,
495,Hawker Beechcraft Hawker 4000,400,x,,,,
515,Bomardier Challenger 350,2137,x,,,,
530,Bombardier CRJ550,184317,CRJ7,,,,
556,Lockheed L100-30/L-382E,0,x,,,,
575,Bombardier Learjet 75,372,x,,,,
608,Boeing 717-200,20124841,B712,,,,
609,Bombardier BD-100-1A10 Challenger 300,1220,CL30,,,,
612,Boeing 737-700/700LR/Max 7,122193381,B37M,,,,
614,Boeing 737-800,132847141,B738,,,,
616,Boeing 737-500,1926,B735,,,,
617,Boeing 737-400,42177,B734,,,,
619,Boeing 737-300,16665,B733,,,,
620,Boeing 737-100/200,6628,B721,,,,
622,Boeing 757-200,25117145,B752,,,,
623,Boeing 757-300,7251823,B753,,,,
624,Boeing 767-400/ER,1059685,B764,,,,
625,Boeing 767-200/ER/EM,88576,B762,,,,
626,Boeing 767-300/300ER,3010396,B763,,,,
627,Boeing 777-200ER/200LR/233LR,6662892,B77L,,,,
628,Canadair RJ-100/RJ-100ER,3356,CRJ1,,,,
629,Canadair RJ-200ER /RJ-440,23158911,CRJ2,,,,
631,Canadair RJ-700,20700666,CRJ7,,,,
632,Dornier 328 Jet,113085,D328,,,,
634,Boeing 737-900,4024270,B739,,,,
635,McDonnell Douglas DC-9-15F,2,x,,,,
636,Cessna Citation II/ Bravo,342,x,,,,
637,Boeing 777-300/300ER/333ER,281467,B773,B77W,,,
638,Canadair CRJ 900,30267440,CRJ9,,,,
639,Cessna Citationjet/CJ1/CJ2/CJ3,193,x,,,,
640,McDonnell Douglas DC-9-30,0,x,,,,
641,Gulfstream Aerospace G-III/G-IV,1362,x,,,,
642,Raytheon Beechcraft Hawker 400XP,0,x,,,,
646,Cessna Citation X Model 650/550B/550XL,728,x,,,,
647,Cessna Citation X Model CE750 X,665,x,,,,
648,Gulfstream G200,563,x,,,,
651,Gulfstream G150,156,x,,,,
652,Canadair CL-600 Challenger,125,x,,,,
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,19556614,MD81,MD82,MD83,MD87,MD88
656,McDonnell Douglas MD-90,7327324,MD90,,,,
658,Bombardier BD-700 Global Express,1350,GL5T,,,,
659,Bombardier (Gates) Learjet 60,117,x,,,,
663,Gates Learjet Lear-31/35/36,0,x,,,,
667,Gulfstream III/V/ G-V Exec/ G-5/550,923,x,,,,
669,Bombardier Challenger 604/605,6923,x,,,,
671,Gulfstream G450,71,x,,,,
673,Embraer ERJ-175,46038182,E75S/L,,,,
674,Embraer-135,179809,E135,,,,
675,Embraer-145,18988622,E145,,,,
676,Embraer-140,3133437,E135,,,,
677,Embraer-Emb-170,5236684,E170,,,,
678,Embraer 190,10666190,E190,,,,
681,Dassault-Breguet Mystere-Falcon,0,x,,,,
682,Dassault Falcon 2000EX/2000lxs,372,x,,,,
683,Boeing B777-F,0,x,,,,
684,Raytheon Beechcraft Hawker 800XP,396,x,,,,
685,Cessna 510 Mustang/560XL Citation Excel,1373,x,,,,
686,Learjet45,365,x,,,,
687,Airbus Industrie A330-300,682190,A333,,,,
688,Bombardier Global 5000,4404,x,,,,
691,Airbus Industrie A300-600/R/CF/RCF,0,x,,,,
692,Airbus Industrie A310-200C/F,0,x,,,,
694,Airbus Industrie A320-100/200,85259155,A320,,,,
696,Airbus Industrie A330-200,3231704,A332,,,,
698,Airbus Industrie A319,49878803,A319,,,,
699,Airbus Industrie A321,82547505,A321,,,,
715,Boeing 727-200/231A,0,x,,,,
721,Airbus Industrie A321-200n,3111503,A321,,,,
722,Airbus Industrie A320-200n,12783241,A321,,,,
723,A200-100 BD-500-1A10,1833273,BCS1,,,,
730,McDonnell Douglas DC-10-10,0,x,,,,
732,McDonnell Douglas DC-10-30,0,x,,,,
740,McDonnell Douglas MD-11,0,xx,,,,
750,Gulfstream G650,613,x,,,,
770,Dassault Falcon 900/900EX,698,x,,,,
774,Dassault Falcon 2000,282,x,,,,
775,Dassault Falcon 7X,596,x,,,,
788,Bombardier Global 6000/Global Xrs,182,x,,,,
819,Boeing 747-400,6466,x,,,,
820,Boeing 747-400F,0,x,,,,
821,Boeing B747-8,0,x,,,,
837,Boeing 787-10 Dreamliner,590139,B78X,,,,
838,Boeing B737 Max 800,1735021,B38M,,,,
839,Boeing B737 Max 900,326439,B39M,,,,
887,B787-800 Dreamliner,909852,B788,,,,
888,Boeing 737-900ER,60531218,B739,,,,
889,B787-900 Dreamliner,599413,B789,,,,
,,,,,,,
822,Boeing 747SP,,,74L,,,
417,Cessna 406 Caravan II,,,,,,
448,Dornier 228,,,D28,,,
471,British Aerospace Jetstream 41,,,J41,,,
484,De Havilland DHC8-300 Dash 8,,,DH3,,,
491,De Havilland DHC8-200Q Dash-8,,,DH2,,,
603,Fokker 100,,,100,,,
621,Boeing 737-200C,,,73L,,,
643,1124A Westwind II,,,WWP,,,
